"kind","file","state","want","bad","seen"
"buildings","common/history/buildings/10_india.txt","STATE_ORISSA","NEWG","FRA","NEWG,FRA"
"buildings","common/history/buildings/10_india.txt","STATE_RAJPUTANA","NEP","JAI","NEP,JAI"
"buildings","common/history/buildings/10_india.txt","STATE_TRAVANCORE","OVL","TRA,BIC","TRA,BIC"
"buildings","common/history/buildings/11_east_asia.txt","STATE_KYUSHU","JAP","NET","JAP,NET"
"buildings","common/history/buildings/12_indonesia.txt","STATE_EAST_JAVA","DEI","TBUN","DEI,TBUN"
"buildings","common/history/buildings/12_indonesia.txt","STATE_SOUTH_SUMATRA","DEI","TBUN","DEI,TBUN"
"buildings","common/history/buildings/12_indonesia.txt","STATE_WEST_JAVA","DEI","TBUN","DEI,TBUN"
"buildings","common/history/buildings/13_australasia.txt","STATE_NEW_SOUTH_WALES","NSW","GBR","GBR,NSW"
"buildings","common/history/buildings/13_australasia.txt","STATE_TASMANIA","TAS","GBR","TAS,GBR"
"buildings","common/history/buildings/13_australasia.txt","STATE_VICTORIA","NSW","GBR","NSW,GBR"
"buildings","common/history/buildings/14_siberia.txt","STATE_TRANS_BAIKAL","SIBC","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_ARKHANGELSK","ZLXY","RUS","ZLXY,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_BREST","POL","RUS","POL,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_CHERSON","UKR","RUS","UKR,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_EAST_KARELIA","ZLXY","RUS","ZLXY,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_INGRIA","ZLXY","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_KAUNAS","ATRI","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_KAZAN","GOD","RUS","GOD,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_KIEV","UKR","RUS","UKR,RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_NOVGOROD","ZLXY","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_PSKOV","ZLXY","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_TAURIDA","UMA","UKR","UMA,UKR"
"buildings","common/history/buildings/15_russia.txt","STATE_VILNIUS","ATRI","RUS","RUS"
"buildings","common/history/buildings/15_russia.txt","STATE_VOLHYNIA","POL","RUS","RUS,POL"
