"full_name","first_name","last_name","occurrences","sources"
"Claudine Saijo","Claudine","Saijo","5","common/history/characters/demo_characters.null:2736; common/history/characters/demo_characters.null:6097; common/history/characters/demo_characters.null:9464; common/history/characters/demo_characters.null:11342; common/history/characters/demo_characters.null:13177"
"Constanze Albrechtsberger","Constanze","Albrechtsberger","5","common/history/characters/demo_characters.null:2966; common/history/characters/demo_characters.null:6327; common/history/characters/demo_characters.null:9712; common/history/characters/demo_characters.null:11572; common/history/characters/demo_characters.null:13425"
"demo1 cash","demo1","cash",,"common/history/characters/reserve.null:836"
"demo1 kash","demo1","kash",,"common/history/characters/reserve.null:851"
"Dia Kurosawa","Dia","Kurosawa","5","common/history/characters/demo_characters.null:1561; common/history/characters/demo_characters.null:4922; common/history/characters/demo_characters.null:8283; common/history/characters/demo_characters.null:10167; common/history/characters/demo_characters.null:11996"
"Diamond Satono","Diamond","Satono","3","common/history/characters/demo_characters.null:903; common/history/characters/demo_characters.null:4264; common/history/characters/demo_characters.null:7625"
"Diana Cavendish","Diana","Cavendish","5","common/history/characters/demo_characters.null:2940; common/history/characters/demo_characters.null:6301; common/history/characters/demo_characters.null:9684; common/history/characters/demo_characters.null:11546; common/history/characters/demo_characters.null:13397"
"Druvis_III Druvis_III","Druvis_III","Druvis_III","3","common/history/characters/demo_characters.null:43; common/history/characters/demo_characters.null:3404; common/history/characters/demo_characters.null:6765"
"Edelfelt Luviagelita","Edelfelt","Luviagelita",,"common/history/characters/reserve.null:122"
"Eila  Ilmatar_Juutilainen","Eila"," Ilmatar_Juutilainen","5","common/history/characters/demo_characters.null:2530; common/history/characters/demo_characters.null:5891; common/history/characters/demo_characters.null:9252; common/history/characters/demo_characters.null:11136; common/history/characters/demo_characters.null:12965"
"Eirin Yagokoro","Eirin","Yagokoro","3","common/history/characters/demo_characters.null:671; common/history/characters/demo_characters.null:4032; common/history/characters/demo_characters.null:7393"
"El_Melloi_Archibald Kayneth","El_Melloi_Archibald","Kayneth",,"common/history/characters/reserve.null:1"
"Ema Sakuraba","Ema","Sakuraba","5","common/history/characters/demo_characters.null:3129; common/history/characters/demo_characters.null:6490; common/history/characters/demo_characters.null:9888; common/history/characters/demo_characters.null:11735; common/history/characters/demo_characters.null:13601"
"Erica Hartmann","Erica","Hartmann","5","common/history/characters/demo_characters.null:2556; common/history/characters/demo_characters.null:5917; common/history/characters/demo_characters.null:9278; common/history/characters/demo_characters.null:11162; common/history/characters/demo_characters.null:12991"
"Eve Wakamiya","Eve","Wakamiya","5","common/history/characters/demo_characters.null:2187; common/history/characters/demo_characters.null:5548; common/history/characters/demo_characters.null:8909; common/history/characters/demo_characters.null:10793; common/history/characters/demo_characters.null:12622"
"Fatutu Fatutu","Fatutu","Fatutu","3","common/history/characters/demo_characters.null:113; common/history/characters/demo_characters.null:3474; common/history/characters/demo_characters.null:6835"
"Francesca Lucchini","Francesca","Lucchini","5","common/history/characters/demo_characters.null:2490; common/history/characters/demo_characters.null:5851; common/history/characters/demo_characters.null:9212; common/history/characters/demo_characters.null:11096; common/history/characters/demo_characters.null:12925"
"Fujin Ines","Fujin","Ines","3","common/history/characters/demo_characters.null:931; common/history/characters/demo_characters.null:4292; common/history/characters/demo_characters.null:7653"
"fukukitaru Matikane","fukukitaru","Matikane","3","common/history/characters/demo_characters.null:861; common/history/characters/demo_characters.null:4222; common/history/characters/demo_characters.null:7583"
"Futaba Isurugi","Futaba","Isurugi","5","common/history/characters/demo_characters.null:2748; common/history/characters/demo_characters.null:6109; common/history/characters/demo_characters.null:9477; common/history/characters/demo_characters.null:11354; common/history/characters/demo_characters.null:13190"
"Gertrud Barkhorn","Gertrud","Barkhorn","5","common/history/characters/demo_characters.null:2569; common/history/characters/demo_characters.null:5930; common/history/characters/demo_characters.null:9291; common/history/characters/demo_characters.null:11175; common/history/characters/demo_characters.null:13004"
"Ghirga Narancia","Ghirga","Narancia",,"common/history/characters/reserve.null:1347"
"Giovanna Giorno","Giovanna","Giorno",,"common/history/characters/reserve.null:1291"
"Giri Yu","Giri","Yu","5","common/history/characters/demo_characters.null:2103; common/history/characters/demo_characters.null:5464; common/history/characters/demo_characters.null:8825; common/history/characters/demo_characters.null:10709; common/history/characters/demo_characters.null:12538"
"Gitano Sami","Gitano","Sami","3","common/history/characters/demo_characters.null:1001; common/history/characters/demo_characters.null:4362; common/history/characters/demo_characters.null:7723"
"Gladiia Iberia","Gladiia","Iberia","3","common/history/characters/demo_characters.null:445; common/history/characters/demo_characters.null:3806; common/history/characters/demo_characters.null:7167"
"Grace Grace","Grace","Grace","3","common/history/characters/demo_characters.null:168; common/history/characters/demo_characters.null:3529; common/history/characters/demo_characters.null:6890"
"Grand_Caster Merlin","Grand_Caster","Merlin",,"common/history/characters/reserve.null:43"
"Granger Emily","Granger","Emily","3","common/history/characters/demo_characters.null:1519; common/history/characters/demo_characters.null:4880; common/history/characters/demo_characters.null:8241"
"Guido Mista","Guido","Mista",,"common/history/characters/reserve.null:1333"
"Hajime Shinoda","Hajime","Shinoda","5","common/history/characters/demo_characters.null:2826; common/history/characters/demo_characters.null:6187; common/history/characters/demo_characters.null:9561; common/history/characters/demo_characters.null:11432; common/history/characters/demo_characters.null:13274"
"Hakurei Reimu","Hakurei","Reimu",,"common/history/characters/reserve.null:1157"
"Hana Isuzu","Hana","Isuzu","3","common/history/characters/demo_characters.null:736; common/history/characters/demo_characters.null:4097; common/history/characters/demo_characters.null:7458"
"Hanae Asagao","Hanae","Asagao","5","common/history/characters/demo_characters.null:1827; common/history/characters/demo_characters.null:5188; common/history/characters/demo_characters.null:8549; common/history/characters/demo_characters.null:10433; common/history/characters/demo_characters.null:12262"
"Hanako Osada","Hanako","Osada","5","common/history/characters/demo_characters.null:2633; common/history/characters/demo_characters.null:5994; common/history/characters/demo_characters.null:9355; common/history/characters/demo_characters.null:11239; common/history/characters/demo_characters.null:13068"
"Hanamaru Kunikida","Hanamaru","Kunikida ","5","common/history/characters/demo_characters.null:1645; common/history/characters/demo_characters.null:5006; common/history/characters/demo_characters.null:8367; common/history/characters/demo_characters.null:10251; common/history/characters/demo_characters.null:12080"
"Hanna toono","Hanna","toono","5","common/history/characters/demo_characters.null:3259; common/history/characters/demo_characters.null:6620; common/history/characters/demo_characters.null:10028; common/history/characters/demo_characters.null:11865; common/history/characters/demo_characters.null:13741"
"Haruka Igusa","Haruka","Igusa","3","common/history/characters/demo_characters.null:1183; common/history/characters/demo_characters.null:4544; common/history/characters/demo_characters.null:7905"
"Hatsune Miku","Hatsune","Miku",,"common/history/characters/reserve.null:701"
"Hazuki Nijoin","Hazuki","Nijoin","5","common/history/characters/demo_characters.null:3349; common/history/characters/demo_characters.null:6710; common/history/characters/demo_characters.null:10125; common/history/characters/demo_characters.null:11955; common/history/characters/demo_characters.null:13838"
"Hewitt Ludwig","Hewitt","Ludwig",,"common/history/characters/reserve.null:409"
"Hibari Hokobaru","Hibari","Hokobaru","3","common/history/characters/demo_characters.null:1393; common/history/characters/demo_characters.null:4754; common/history/characters/demo_characters.null:8115"
"Hifumi Ajitani","Hifumi","Ajitani","3","common/history/characters/demo_characters.null:1197; common/history/characters/demo_characters.null:4558; common/history/characters/demo_characters.null:7919"
"Hifumi Takimono","Hifumi","Takimono","5","common/history/characters/demo_characters.null:2813; common/history/characters/demo_characters.null:6174; common/history/characters/demo_characters.null:9547; common/history/characters/demo_characters.null:11419; common/history/characters/demo_characters.null:13260"
"HighMore Iberia","HighMore","Iberia","3","common/history/characters/demo_characters.null:431; common/history/characters/demo_characters.null:3792; common/history/characters/demo_characters.null:7153"
"Hikari Kagura","Hikari","Kagura","5","common/history/characters/demo_characters.null:2673; common/history/characters/demo_characters.null:6034; common/history/characters/demo_characters.null:9396; common/history/characters/demo_characters.null:11279; common/history/characters/demo_characters.null:13109"
"Himekawa Yoshino","Himekawa","Yoshino",,"common/history/characters/reserve.null:971"
"Hina Hikawa","Hina","Hikawa","5","common/history/characters/demo_characters.null:2159; common/history/characters/demo_characters.null:5520; common/history/characters/demo_characters.null:8881; common/history/characters/demo_characters.null:10765; common/history/characters/demo_characters.null:12594"
"Hinata Kaho","Hinata","Kaho",,"common/history/characters/reserve.null:577"
"Hinata Wakaba","Hinata","Wakaba","5","common/history/characters/demo_characters.null:1869; common/history/characters/demo_characters.null:5230; common/history/characters/demo_characters.null:8591; common/history/characters/demo_characters.null:10475; common/history/characters/demo_characters.null:12304"
"Hiro Nikaido","Hiro","Nikaido","5","common/history/characters/demo_characters.null:3142; common/history/characters/demo_characters.null:6503; common/history/characters/demo_characters.null:9902; common/history/characters/demo_characters.null:11748; common/history/characters/demo_characters.null:13615"
"Hitachi Mako","Hitachi","Mako",,"common/history/characters/reserve.null:1262"
"Hitori Goto","Hitori","Goto","3","common/history/characters/demo_characters.null:1211; common/history/characters/demo_characters.null:4572; common/history/characters/demo_characters.null:7933"
"Honjou Nia","Honjou","Nia",,"common/history/characters/reserve.null:931"
"Hoshimiya Mukuro","Hoshimiya","Mukuro",,"common/history/characters/reserve.null:1028"
"Hoshino Takanashi","Hoshino","Takanashi","3","common/history/characters/demo_characters.null:1085; common/history/characters/demo_characters.null:4446; common/history/characters/demo_characters.null:7807"
"Hoto Kokoa","Hoto","Kokoa",,"common/history/characters/reserve.null:562"
"Ibuki Suika","Ibuki","Suika",,"common/history/characters/reserve.null:1187"
"Ikuyo Kita","Ikuyo","Kita","3","common/history/characters/demo_characters.null:1253; common/history/characters/demo_characters.null:4614; common/history/characters/demo_characters.null:7975"
"Inoue Takina","Inoue","Takina",,"common/history/characters/reserve.null:532"
"Irene Iberia","Irene","Iberia","3","common/history/characters/demo_characters.null:417; common/history/characters/demo_characters.null:3778; common/history/characters/demo_characters.null:7139"
"Issac_Ray_Pelham Westcott","Issac_Ray_Pelham","Westcott",,"common/history/characters/reserve.null:1127"
"Itsuka Kotori","Itsuka","Kotori",,"common/history/characters/reserve.null:990"
"Izayoi Miku","Izayoi","Miku",,"common/history/characters/reserve.null:1077"
"Joe Joe","Joe","Joe","3","common/history/characters/demo_characters.null:141; common/history/characters/demo_characters.null:3502; common/history/characters/demo_characters.null:6863"
"Judge Miku","Judge","Miku",,"common/history/characters/reserve.null:746"
"Junko Konno","Junko","Konno","5","common/history/characters/demo_characters.null:2089; common/history/characters/demo_characters.null:5450; common/history/characters/demo_characters.null:8811; common/history/characters/demo_characters.null:10695; common/history/characters/demo_characters.null:12524"
"Junna Hoshimi","Junna","Hoshimi","5","common/history/characters/demo_characters.null:2698; common/history/characters/demo_characters.null:6059; common/history/characters/demo_characters.null:9423; common/history/characters/demo_characters.null:11304; common/history/characters/demo_characters.null:13136"
"Kafu Chino","Kafu","Chino",,"common/history/characters/reserve.null:424"
"Kagura Mea","Kagura","Mea",,"common/history/characters/reserve.null:608"
"Kaguya Houraisan","Kaguya","Houraisan","3","common/history/characters/demo_characters.null:646; common/history/characters/demo_characters.null:4007; common/history/characters/demo_characters.null:7368"
"Kaguya Shinomiya","Kaguya","Shinomiya","3","common/history/characters/demo_characters.null:634; common/history/characters/demo_characters.null:3995; common/history/characters/demo_characters.null:7356"
"Kaju Nukumizu","Kaju","Nukumizu","3","common/history/characters/demo_characters.null:1365; common/history/characters/demo_characters.null:4726; common/history/characters/demo_characters.null:8087"
"Kakania Kakania","Kakania","Kakania","3","common/history/characters/demo_characters.null:71; common/history/characters/demo_characters.null:3432; common/history/characters/demo_characters.null:6793"
"Kamishirasawa Keine","Kamishirasawa","Keine",,"common/history/characters/reserve.null:1172"
"Kanan Matsuura","Kanan","Matsuura","5","common/history/characters/demo_characters.null:1631; common/history/characters/demo_characters.null:4992; common/history/characters/demo_characters.null:8353; common/history/characters/demo_characters.null:10237; common/history/characters/demo_characters.null:12066"
"Kanata Konoe","Kanata","Konoe","5","common/history/characters/demo_characters.null:1771; common/history/characters/demo_characters.null:5132; common/history/characters/demo_characters.null:8493; common/history/characters/demo_characters.null:10377; common/history/characters/demo_characters.null:12206"
"Kaoruko Hanayagi","Kaoruko","Hanayagi","5","common/history/characters/demo_characters.null:2761; common/history/characters/demo_characters.null:6122; common/history/characters/demo_characters.null:9491; common/history/characters/demo_characters.null:11367; common/history/characters/demo_characters.null:13204"
"Karen Aijo","Karen","Aijo","5","common/history/characters/demo_characters.null:2660; common/history/characters/demo_characters.null:6021; common/history/characters/demo_characters.null:9382; common/history/characters/demo_characters.null:11266; common/history/characters/demo_characters.null:13095"
"Karen Kozuki","Karen","Kozuki","5","common/history/characters/demo_characters.null:3079; common/history/characters/demo_characters.null:6440; common/history/characters/demo_characters.null:9834; common/history/characters/demo_characters.null:11685; common/history/characters/demo_characters.null:13547"
"Karin Asaka","Karin","Asaka","5","common/history/characters/demo_characters.null:1743; common/history/characters/demo_characters.null:5104; common/history/characters/demo_characters.null:8465; common/history/characters/demo_characters.null:10349; common/history/characters/demo_characters.null:12178"
"Kasumi Nakasu","Kasumi","Nakasu","5","common/history/characters/demo_characters.null:1701; common/history/characters/demo_characters.null:5062; common/history/characters/demo_characters.null:8423; common/history/characters/demo_characters.null:10307; common/history/characters/demo_characters.null:12136"
"Kawashiro Nitori","Kawashiro","Nitori",,"common/history/characters/reserve.null:1232"
"Kayoko Onikata","Kayoko","Onikata","3","common/history/characters/demo_characters.null:1155; common/history/characters/demo_characters.null:4516; common/history/characters/demo_characters.null:7877"
"Kazuma Sato","Kazuma","Sato","5","common/history/characters/demo_characters.null:3005; common/history/characters/demo_characters.null:6366; common/history/characters/demo_characters.null:9754; common/history/characters/demo_characters.null:11611; common/history/characters/demo_characters.null:13467"
"Kazuto Kirigaya","Kazuto","Kirigaya","5","common/history/characters/demo_characters.null:1910; common/history/characters/demo_characters.null:5271; common/history/characters/demo_characters.null:8632; common/history/characters/demo_characters.null:10516; common/history/characters/demo_characters.null:12345"
"Kirima Sharo","Kirima","Sharo",,"common/history/characters/reserve.null:592"
"Kirino Kosaka","Kirino","Kosaka","3","common/history/characters/demo_characters.null:1435; common/history/characters/demo_characters.null:4796; common/history/characters/demo_characters.null:8157"
"Ko Yagami","Ko","Yagami","5","common/history/characters/demo_characters.null:2787; common/history/characters/demo_characters.null:6148; common/history/characters/demo_characters.null:9519; common/history/characters/demo_characters.null:11393; common/history/characters/demo_characters.null:13232"
"Kobayashi Toru","Kobayashi","Toru",,"common/history/characters/reserve.null:502"
"Koko Sawatari","Koko","Sawatari","5","common/history/characters/demo_characters.null:3272; common/history/characters/demo_characters.null:6633; common/history/characters/demo_characters.null:10042; common/history/characters/demo_characters.null:11878; common/history/characters/demo_characters.null:13755"
"Kotaro Tatsumi","Kotaro","Tatsumi","5","common/history/characters/demo_characters.null:2034; common/history/characters/demo_characters.null:5395; common/history/characters/demo_characters.null:8756; common/history/characters/demo_characters.null:10640; common/history/characters/demo_characters.null:12469"
"Koto Tsukinoki","Koto","Tsukinoki","3","common/history/characters/demo_characters.null:1379; common/history/characters/demo_characters.null:4740; common/history/characters/demo_characters.null:8101"
"Kotomine Kirei","Kotomine","Kirei",,"common/history/characters/reserve.null:22"
"Kujo Arisa","Kujo","Arisa","3","common/history/characters/demo_characters.null:1295; common/history/characters/demo_characters.null:4656; common/history/characters/demo_characters.null:8017"
"Kujo Mariya","Kujo","Mariya","3","common/history/characters/demo_characters.null:1281; common/history/characters/demo_characters.null:4642; common/history/characters/demo_characters.null:8003"
"Kyono Natsumi","Kyono","Natsumi",,"common/history/characters/reserve.null:1012"
"Lalatina_Ford Dustiness","Lalatina_Ford","Dustiness","5","common/history/characters/demo_characters.null:3042; common/history/characters/demo_characters.null:6403; common/history/characters/demo_characters.null:9794; common/history/characters/demo_characters.null:11648; common/history/characters/demo_characters.null:13507"
"Laundry Fluss","Laundry","Fluss",,"common/history/characters/reserve.null:653"
"Lelouch vi_Britannia","Lelouch","vi_Britannia","5","common/history/characters/demo_characters.null:3055; common/history/characters/demo_characters.null:6416; common/history/characters/demo_characters.null:9808; common/history/characters/demo_characters.null:11661; common/history/characters/demo_characters.null:13521"
"Leone Abbacchio","Leone","Abbacchio",,"common/history/characters/reserve.null:1319"
"Librorum_Prohibitorum Index","Librorum_Prohibitorum","Index",,"common/history/characters/reserve.null:259"
"Lily Hoshikawa","Lily","Hoshikawa","5","common/history/characters/demo_characters.null:2117; common/history/characters/demo_characters.null:5478; common/history/characters/demo_characters.null:8839; common/history/characters/demo_characters.null:10723; common/history/characters/demo_characters.null:12552"
"Lilya Lilya","Lilya","Lilya","3","common/history/characters/demo_characters.null:127; common/history/characters/demo_characters.null:3488; common/history/characters/demo_characters.null:6849"
"Lisa Imai","Lisa","Imai","5","common/history/characters/demo_characters.null:2270; common/history/characters/demo_characters.null:5631; common/history/characters/demo_characters.null:8992; common/history/characters/demo_characters.null:10876; common/history/characters/demo_characters.null:12705"
"Lotte Jansson","Lotte","Jansson","5","common/history/characters/demo_characters.null:2914; common/history/characters/demo_characters.null:6275; common/history/characters/demo_characters.null:9656; common/history/characters/demo_characters.null:11520; common/history/characters/demo_characters.null:13369"
"Lucy Lucy","Lucy","Lucy","3","common/history/characters/demo_characters.null:299; common/history/characters/demo_characters.null:3660; common/history/characters/demo_characters.null:7021"
"Lumen Iberia","Lumen","Iberia","3","common/history/characters/demo_characters.null:484; common/history/characters/demo_characters.null:3845; common/history/characters/demo_characters.null:7206"
"Lynette Bishop","Lynette","Bishop","5","common/history/characters/demo_characters.null:2449; common/history/characters/demo_characters.null:5810; common/history/characters/demo_characters.null:9171; common/history/characters/demo_characters.null:11055; common/history/characters/demo_characters.null:12884"
"Maagou Housho","Maagou","Housho","5","common/history/characters/demo_characters.null:3207; common/history/characters/demo_characters.null:6568; common/history/characters/demo_characters.null:9972; common/history/characters/demo_characters.null:11813; common/history/characters/demo_characters.null:13685"
"Magallan Sami","Magallan","Sami","3","common/history/characters/demo_characters.null:1029; common/history/characters/demo_characters.null:4390; common/history/characters/demo_characters.null:7751"
"Magical Miku","Magical","Miku",,"common/history/characters/reserve.null:776"
"Mahiru Tsuyuzaki","Mahiru","Tsuyuzaki","5","common/history/characters/demo_characters.null:2711; common/history/characters/demo_characters.null:6072; common/history/characters/demo_characters.null:9437; common/history/characters/demo_characters.null:11317; common/history/characters/demo_characters.null:13150"
"Mako ReiZei","Mako","ReiZei","3","common/history/characters/demo_characters.null:750; common/history/characters/demo_characters.null:4111; common/history/characters/demo_characters.null:7472"
"Mari Iochi","Mari","Iochi","5","common/history/characters/demo_characters.null:1855; common/history/characters/demo_characters.null:5216; common/history/characters/demo_characters.null:8577; common/history/characters/demo_characters.null:10461; common/history/characters/demo_characters.null:12290"
"Mari Ohara","Mari","Ohara","5","common/history/characters/demo_characters.null:1617; common/history/characters/demo_characters.null:4978; common/history/characters/demo_characters.null:8339; common/history/characters/demo_characters.null:10223; common/history/characters/demo_characters.null:12052"
"Mashiro Kurata","Mashiro","Kurata","5","common/history/characters/demo_characters.null:2353; common/history/characters/demo_characters.null:5714; common/history/characters/demo_characters.null:9075; common/history/characters/demo_characters.null:10959; common/history/characters/demo_characters.null:12788"
"Masuki Sato","Masuki","Sato","5","common/history/characters/demo_characters.null:2298; common/history/characters/demo_characters.null:5659; common/history/characters/demo_characters.null:9020; common/history/characters/demo_characters.null:10904; common/history/characters/demo_characters.null:12733"
"Maya Tendo","Maya","Tendo","5","common/history/characters/demo_characters.null:2686; common/history/characters/demo_characters.null:6047; common/history/characters/demo_characters.null:9410; common/history/characters/demo_characters.null:11292; common/history/characters/demo_characters.null:13123"
"Maya Yamato","Maya","Yamato","5","common/history/characters/demo_characters.null:2173; common/history/characters/demo_characters.null:5534; common/history/characters/demo_characters.null:8895; common/history/characters/demo_characters.null:10779; common/history/characters/demo_characters.null:12608"
"Mayu Shikibe","Mayu","Shikibe","5","common/history/characters/demo_characters.null:3336; common/history/characters/demo_characters.null:6697; common/history/characters/demo_characters.null:10111; common/history/characters/demo_characters.null:11942; common/history/characters/demo_characters.null:13824"
