生产方式key,来源文件,商品投入类型与数量,商品投入总价格,商品产出类型与数量,商品产出总价格,商品收益净值,收益率
pm_goods_garage_lego,goods.txt,wood*15,300.00,omocha*20,0.00,-300.00,-1.0000
pm_goods_garage_motor,goods.txt,electricity*10；engines*10；tools*10,1300.00,omocha*50,0.00,-1300.00,-1.0000
pm_goods_garage_null,goods.txt,,0.00,,0.00,0.00,
pm_goods_ip_home,goods.txt,,0.00,omocha*10,0.00,0.00,
pm_goods_ip_hot,goods.txt,,0.00,omocha*10,0.00,0.00,
pm_goods_ip_null,goods.txt,,0.00,,0.00,0.00,
pm_goods_ip_random,goods.txt,,0.00,omocha*10,0.00,0.00,
pm_goods_jewelry_badge,goods.txt,iron*10,400.00,omocha*20,0.00,-400.00,-1.0000
pm_goods_jewelry_null,goods.txt,,0.00,,0.00,0.00,
pm_goods_jewelry_pendant,goods.txt,glass*10；tools*5,600.00,omocha*25,0.00,-600.00,-1.0000
pm_goods_jewelry_stand,goods.txt,glass*10；tools*5,600.00,omocha*30,0.00,-600.00,-1.0000
pm_goods_print_art,goods.txt,dye*5；fine_art*5；paper*10,1500.00,omocha*30,0.00,-1500.00,-1.0000
pm_goods_print_card,goods.txt,dye*5；paper*15,650.00,omocha*25,0.00,-650.00,-1.0000
pm_goods_print_null,goods.txt,,0.00,,0.00,0.00,
pm_goods_print_post,goods.txt,dye*10；paper*15,850.00,omocha*30,0.00,-850.00,-1.0000
pm_goods_print_seal,goods.txt,dye*5；paper*10,500.00,omocha*20,0.00,-500.00,-1.0000
pm_goods_selling_large,goods.txt,,0.00,omocha*10,0.00,0.00,
pm_goods_selling_limit,goods.txt,,0.00,omocha*5,0.00,0.00,
pm_goods_selling_lotto,goods.txt,,0.00,omocha*5,0.00,0.00,
pm_goods_selling_null,goods.txt,,0.00,,0.00,0.00,
pm_iron_barn,barn.txt,,0.00,grain*75；meat*30,2400.00,2400.00,
pm_kissaten_coffee_coffee,kissaten.txt,coffee*20；sugar*10,1300.00,luxury_drinks*30,1800.00,500.00,0.3846
pm_kissaten_coffee_latte,kissaten.txt,coffee*30；sugar*30,2400.00,luxury_drinks*60,3600.00,1200.00,0.5000
pm_kissaten_coffee_mocha,kissaten.txt,coffee*20；sugar*40,2200.00,luxury_drinks*50,3000.00,800.00,0.3636
pm_kissaten_coffee_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_food_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_food_omuraisu,kissaten.txt,grain*45；meat*50,2400.00,luxury_foods*60,3600.00,1200.00,0.5000
pm_kissaten_food_pasta,kissaten.txt,grain*35；meat*30,1600.00,luxury_foods*40,2400.00,800.00,0.5000
pm_kissaten_food_sandwich,kissaten.txt,grain*20；meat*30,1300.00,luxury_foods*30,1800.00,500.00,0.3846
pm_kissaten_food_takoyaki,kissaten.txt,fish*35；grain*40；meat*50,3000.00,luxury_foods*70,4200.00,1200.00,0.4000
pm_kissaten_server_fuwafuwa,kissaten.txt,luxury_clothes*25；luxury_drinks*5；sugar*10,2100.00,,0.00,-2100.00,-1.0000
pm_kissaten_server_maid,kissaten.txt,luxury_clothes*20,1200.00,,0.00,-1200.00,-1.0000
pm_kissaten_server_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_server_waitress,kissaten.txt,clothes*10,300.00,,0.00,-300.00,-1.0000
pm_kissaten_sweet_biscuit,kissaten.txt,grain*25；sugar*20,1100.00,luxury_foods*30,1800.00,700.00,0.6364
pm_kissaten_sweet_cake,kissaten.txt,fruit*25；grain*45；sugar*35,2700.00,luxury_foods*65,3900.00,1200.00,0.4444
pm_kissaten_sweet_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_sweet_pancake,kissaten.txt,fruit*25；grain*35；sugar*25,2200.00,luxury_foods*50,3000.00,800.00,0.3636
pm_kissaten_sweet_pie,kissaten.txt,fruit*35；grain*45；sugar*35,3000.00,luxury_foods*70,4200.00,1200.00,0.4000
pm_kissaten_tea_black_tea,kissaten.txt,sugar*55；tea*15,2400.00,luxury_drinks*60,3600.00,1200.00,0.5000
pm_kissaten_tea_cocoa,kissaten.txt,sugar*45；tea*5,1600.00,luxury_drinks*40,2400.00,800.00,0.5000
pm_kissaten_tea_milk,kissaten.txt,sugar*25；tea*5,1000.00,luxury_drinks*25,1500.00,500.00,0.5000
pm_kissaten_tea_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_tool_flash_freezing,kissaten.txt,electricity*20；engines*10；tools*10,1600.00,,0.00,-1600.00,-1.0000
pm_kissaten_tool_null,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_tool_porcelain,kissaten.txt,iron*5；porcelain*10,900.00,,0.00,-900.00,-1.0000
pm_kissaten_tool_table,kissaten.txt,furniture*10；tools*5,500.00,,0.00,-500.00,-1.0000
pm_kissaten_tool_watertube_boiler,kissaten.txt,coal*10；iron*10；tools*10,1100.00,,0.00,-1100.00,-1.0000
pm_market_barn,barn.txt,,0.00,,0.00,0.00,
pm_musical_instrument_main_electric,musical_instrument.txt,electricity*20；engines*10；steel*15,1950.00,instruments*75,4125.00,2175.00,1.1154
pm_musical_instrument_main_iron,musical_instrument.txt,iron*10；wood*5,500.00,instruments*35,1925.00,1425.00,2.8500
pm_musical_instrument_main_null,musical_instrument.txt,,0.00,,0.00,0.00,
pm_musical_instrument_main_steel,musical_instrument.txt,steel*15；tools*20；wood*10,1750.00,instruments*65,3575.00,1825.00,1.0429
pm_musical_instrument_main_wood,musical_instrument.txt,tools*10；wood*10,600.00,instruments*20,1100.00,500.00,0.8333
pm_no_magic,tot_jijian_production.txt,,0.00,,0.00,0.00,
pm_noble_barn,barn.txt,,0.00,,0.00,0.00,
pm_publisher_business_ads,publisher_press.txt,paper*4；services*12；tools*3,600.00,publications*10,500.00,-100.00,-0.1667
pm_publisher_business_none,publisher_press.txt,,0.00,,0.00,0.00,
pm_publisher_business_publishing,publisher_press.txt,paper*5；services*8；tools*2,470.00,publications*10,500.00,30.00,0.0638
pm_publisher_main_general_electric,publisher_press.txt,electricity*20；engines*15；paper*45,2850.00,publications*80,4000.00,1150.00,0.4035
pm_publisher_main_general_iron,publisher_press.txt,iron*10；paper*30；tools*10,1700.00,publications*50,2500.00,800.00,0.4706
pm_publisher_main_general_steel,publisher_press.txt,paper*35；steel*15；tools*15,2400.00,publications*60,3000.00,600.00,0.2500
pm_publisher_main_general_wood,publisher_press.txt,paper*20；tools*5；wood*15,1100.00,publications*40,2000.00,900.00,0.8182
pm_publisher_main_null,publisher_press.txt,,0.00,,0.00,0.00,
pm_railway_luotuomu,tot_jijian_production.txt,magic_mineral*5；magictools*5,0.00,transportation*10,300.00,300.00,
pm_railway_transport,tot_jijian_production.txt,magic_energy*5；magic_steels*5；magictools*5,0.00,transportation*30,900.00,900.00,
pm_relief_barn,barn.txt,,0.00,,0.00,0.00,
pm_shopkeeper_barn,barn.txt,,0.00,,0.00,0.00,
pm_stell_barn,barn.txt,,0.00,grain*125；meat*50,4000.00,4000.00,
pm_transport_barn,barn.txt,,0.00,,0.00,0.00,
pm_wooden_barn,barn.txt,,0.00,grain*50；meat*20,1600.00,1600.00,
