source_name	normalized_name	chosen_trait	candidate_traits	candidate_cn_names
贞德，五河琴里，八舞夕弦，尼禄，伊利亚，美树沙耶香，菲特，拉姆，蕾姆，李莓铃	贞德，五河琴里，八舞夕弦，尼禄，伊利亚，美树沙耶香，菲特，拉姆，蕾姆，李莓铃			
八神疾风，立花响	八神疾风，立花响		tot_Mhs_Hibiki_trait	
查理曼，迪昂，阿斯托尔福，布拉达曼特，贝狄威尔，阿尔托莉雅，莫德雷德，八舞耶俱矢，夜刀神十香，九条可怜，ba爱丽丝	查理曼，迪昂，阿斯托尔福，布拉达曼特，贝狄威尔，阿尔托莉雅，莫德雷德，八舞耶俱矢，夜刀神十香，九条可怜，ba爱丽丝		tot_Alice_Zuberg_trait|tot_Kinmosa_Alice_trait	|
玛丽，米娅，诱宵美九，三角初华，风鸣翼	玛丽，米娅，诱宵美九，三角初华，风鸣翼		tot_Mhs_Tsubasa_trait	
科黛，时崎狂三，杰克，要乐奈，八幡海铃，丘比，晓美焰，八云紫，锦木千束，井之上泷奈，千早爱音，胡桃，月城雪兔	科黛，时崎狂三，杰克，要乐奈，八幡海铃，丘比，晓美焰，八云紫，锦木千束，井之上泷奈，千早爱音，胡桃，月城雪兔			
大仲马，本条二亚，七罪，达芬奇，高松灯，椎名立希，祐天寺若麦，射命丸文，河城荷取，小路绫，小林，艾露玛，凉风青叶	大仲马，本条二亚，七罪，达芬奇，高松灯，椎名立希，祐天寺若麦，射命丸文，河城荷取，小路绫，小林，艾露玛，凉风青叶		tot_Bang_Moca_trait|tot_Suzukaze_Aoba_trait	|
小鸟游六花，丹生谷森夏，七宫智音，平泽唯，中野梓	小鸟游六花，丹生谷森夏，七宫智音，平泽唯，中野梓		tot_Kon_Azusa_trait	中野梓
拿破仑，鸢一折纸，神无月恭平，路德维希，伊吹萃香，猪熊阳子，凯撒，安丘比，田井中律	拿破仑，鸢一折纸，神无月恭平，路德维希，伊吹萃香，猪熊阳子，凯撒，安丘比，田井中律		tot_Kon_Ritsu_trait	田井中律
哈维	哈维			
露维亚，维斯考特，赫萝，劳伦斯，大道寺知世，长崎素世，丰川祥子，若叶睦，依神女苑，凸守早苗，琴吹䌷	露维亚，维斯考特，赫萝，劳伦斯，大道寺知世，长崎素世，丰川祥子，若叶睦，依神女苑，凸守早苗，琴吹䌷			
桑松	桑松			
言峰绮礼，佐仓杏子，黎塞留，博丽灵梦，大宫忍，玛尔达，宫水三叶	言峰绮礼，佐仓杏子，黎塞留，博丽灵梦，大宫忍，玛尔达，宫水三叶			
小可，秋山澪	小可，秋山澪		tot_Kon_Mio_trait	秋山澪
村雨令音，上白泽慧音	村雨令音，上白泽慧音			
明月栞那，汐山凉音，香风智乃，樱之宫莓香，保登心爱，桐间纱路，托尔，假屋和奏，四季夏目，佩帕罗妮，卡尔帕乔，松原穗乃花，谢斯塔	明月栞那，汐山凉音，香风智乃，樱之宫莓香，保登心爱，桐间纱路，托尔，假屋和奏，四季夏目，佩帕罗妮，卡尔帕乔，松原穗乃花，谢斯塔		tot_Mhs_Siesta_trait	
奥寺美纪，木之本桃矢	奥寺美纪，木之本桃矢			
鹿目圆	鹿目圆			
黄图爱丽丝	黄图爱丽丝		tot_Alice_Zuberg_trait|tot_Kinmosa_Alice_trait	|
拿破仑，五河琴里，巴麻美，鹿目圆，高町奈叶，雪音克莉丝	拿破仑，五河琴里，巴麻美，鹿目圆，高町奈叶，雪音克莉丝		tot_Mhs_Chris_trait	
阿斯托尔福，贝狄威尔，劳伦斯，美树沙耶香，月城雪兔	阿斯托尔福，贝狄威尔，劳伦斯，美树沙耶香，月城雪兔			
大仲马，夜刀神十香，赫萝，巴麻美，佐仓杏子，汐山凉音，伊吹萃香，四季夏目，小林，安丘比	大仲马，夜刀神十香，赫萝，巴麻美，佐仓杏子，汐山凉音，伊吹萃香，四季夏目，小林，安丘比		tot_Mhs_QB_trait	
贞德，玛尔达	贞德，玛尔达			
查理曼，玛丽，布拉达曼特，哈维，米娅，肯尼斯，远坂时臣	查理曼，玛丽，布拉达曼特，哈维，米娅，肯尼斯，远坂时臣			
阿尔托莉雅，莫德雷德，尼禄，李小狼，拉姆，蕾姆，黄图爱丽丝，大宫忍，凯撒，佩帕罗妮，李莓铃，安丽埃塔	阿尔托莉雅，莫德雷德，尼禄，李小狼，拉姆，蕾姆，黄图爱丽丝，大宫忍，凯撒，佩帕罗妮，李莓铃，安丽埃塔			
吉尔德雷，言峰绮礼，维斯考特，樱之宫莓香，依神女苑	吉尔德雷，言峰绮礼，维斯考特，樱之宫莓香，依神女苑			
迪昂，村雨令音，射命丸文，风鸣翼	迪昂，村雨令音，射命丸文，风鸣翼		tot_Mhs_Tsubasa_trait	
科黛，桑松，杰克，菲特，井之上泷奈	科黛，桑松，杰克，菲特，井之上泷奈			
八神疾风	八神疾风		tot_Mhs_Hayate_trait	
梅林，神无月恭平，大道寺知世，黎塞留，路德维希，小路绫，松原穗乃花，卡尔帕乔	梅林，神无月恭平，大道寺知世，黎塞留，路德维希，小路绫，松原穗乃花，卡尔帕乔			
远坂凛，鸢一折纸，伊蕾娜，达芬奇，美游，河城荷取，桐间纱路，锦木千束，胡桃，凸守早苗	远坂凛，鸢一折纸，伊蕾娜，达芬奇，美游，河城荷取，桐间纱路，锦木千束，胡桃，凸守早苗		tot_Mhs_Sanae_trait	
米娅，本条二亚，时崎狂三，芙莉莲，晓美焰，八云紫，宫水三叶，木之本桃矢	米娅，本条二亚，时崎狂三，芙莉莲，晓美焰，八云紫，宫水三叶，木之本桃矢			
四糸乃，七罪，八舞耶俱矢，八舞夕弦，香风智乃，小鸟游六花	四糸乃，七罪，八舞耶俱矢，八舞夕弦，香风智乃，小鸟游六花		tot_Asahi_Rokka_trait|tot_Mhs_Rikka_trait	|
星宫六喰，诱宵美九，木之本樱，丘比，圆神，伊莉雅，明月栞那，博丽灵梦，上白泽慧音，秋穰子，绫地宁宁，小可，丹生谷森夏	星宫六喰，诱宵美九，木之本樱，丘比，圆神，伊莉雅，明月栞那，博丽灵梦，上白泽慧音，秋穰子，绫地宁宁，小可，丹生谷森夏		tot_Mhs_Shinka_trait	
保登心爱，九条可怜，猪熊阳子，立花响，奥寺美纪，谢斯塔，七宫智音	保登心爱，九条可怜，猪熊阳子，立花响，奥寺美纪，谢斯塔，七宫智音		tot_Mhs_Satone_trait	
伊利亚	伊利亚		tot_Iberia_Carmen_trait|tot_Iberia_Gladiia_trait|tot_Iberia_HighMore_trait|tot_Iberia_Irene_trait|tot_Iberia_Lumen_trait|tot_Iberia_Mizuki_trait|tot_Iberia_Skadi_trait|tot_Iberia_Specter_trait|tot_Iberia_Ulpianus_trait	||||||||
托尔，康娜，艾露玛	托尔，康娜，艾露玛			
千早爱音，要乐奈，若叶睦，假屋和奏，平泽唯，中野梓	千早爱音，要乐奈，若叶睦，假屋和奏，平泽唯，中野梓		tot_Kon_Azusa_trait	中野梓
长崎素世，八幡海铃，秋山澪	长崎素世，八幡海铃，秋山澪		tot_Kon_Mio_trait	秋山澪
椎名立希，祐天寺若麦，田井中律	椎名立希，祐天寺若麦，田井中律		tot_Kon_Ritsu_trait	田井中律
丰川祥子，琴吹䌷	丰川祥子，琴吹䌷			
高松灯，三角初华	高松灯，三角初华		tot_Bang_Uika_trait	
凉风青叶，ba爱丽丝	凉风青叶，ba爱丽丝		tot_Alice_Zuberg_trait|tot_Kinmosa_Alice_trait	|
