生产方式key,生产方式中文名,来源文件,商品投入类型与数量,商品投入总价格,商品产出类型与数量,商品产出总价格,商品收益净值,收益率
pm_game_traditional_mechanical,机械传统游戏,game.txt,hardwood(hardwood)*10；iron(iron)*10；paper(paper)*10,1100.00,游戏(games)*35,2100.00,1000.00,0.9091
pm_game_traditional_tabletop,兵旗桌游,game.txt,hardwood(hardwood)*10；paper(paper)*10,700.00,游戏(games)*20,1200.00,500.00,0.7143
pm_goods_doll_doll,玩偶,goods.txt,clothes(clothes)*5；fabric(fabric)*10,350.00,周边(omocha)*20,0.00,-350.00,-1.0000
pm_goods_doll_null,无,goods.txt,,0.00,,0.00,0.00,
pm_goods_doll_pillow,抱枕,goods.txt,clothes(clothes)*5；fabric(fabric)*10,350.00,周边(omocha)*25,0.00,-350.00,-1.0000
pm_goods_garage_gundam,pm_goods_garage_gundam,goods.txt,iron(iron)*10；tools(tools)*10,800.00,周边(omocha)*30,0.00,-800.00,-1.0000
pm_goods_garage_kit,pm_goods_garage_kit,goods.txt,glass(glass)*10；tools(tools)*10,800.00,周边(omocha)*35,0.00,-800.00,-1.0000
pm_goods_garage_lego,木制积木,goods.txt,wood(wood)*15,300.00,周边(omocha)*20,0.00,-300.00,-1.0000
pm_goods_garage_motor,电动玩具,goods.txt,electricity(electricity)*10；engines(engines)*10；tools(tools)*10,1300.00,周边(omocha)*50,0.00,-1300.00,-1.0000
pm_goods_garage_null,无,goods.txt,,0.00,,0.00,0.00,
pm_goods_ip_home,pm_goods_ip_home,goods.txt,,0.00,周边(omocha)*10,0.00,0.00,
pm_goods_ip_hot,pm_goods_ip_hot,goods.txt,,0.00,周边(omocha)*10,0.00,0.00,
pm_goods_ip_null,无,goods.txt,,0.00,,0.00,0.00,
pm_goods_ip_random,随机上架,goods.txt,,0.00,周边(omocha)*10,0.00,0.00,
pm_goods_jewelry_badge,pm_goods_jewelry_badge,goods.txt,iron(iron)*10,400.00,周边(omocha)*20,0.00,-400.00,-1.0000
pm_goods_jewelry_null,无,goods.txt,,0.00,,0.00,0.00,
pm_goods_jewelry_pendant,挂件,goods.txt,glass(glass)*10；tools(tools)*5,600.00,周边(omocha)*25,0.00,-600.00,-1.0000
pm_goods_jewelry_stand,pm_goods_jewelry_stand,goods.txt,glass(glass)*10；tools(tools)*5,600.00,周边(omocha)*30,0.00,-600.00,-1.0000
pm_goods_print_art,pm_goods_print_art,goods.txt,dye(dye)*5；fine_art(fine_art)*5；paper(paper)*10,1500.00,周边(omocha)*30,0.00,-1500.00,-1.0000
pm_goods_print_card,pm_goods_print_card,goods.txt,dye(dye)*5；paper(paper)*15,650.00,周边(omocha)*25,0.00,-650.00,-1.0000
pm_goods_print_null,无,goods.txt,,0.00,,0.00,0.00,
pm_goods_print_post,pm_goods_print_post,goods.txt,dye(dye)*10；paper(paper)*15,850.00,周边(omocha)*30,0.00,-850.00,-1.0000
pm_goods_print_seal,色纸,goods.txt,dye(dye)*5；paper(paper)*10,500.00,周边(omocha)*20,0.00,-500.00,-1.0000
pm_goods_selling_large,pm_goods_selling_large,goods.txt,,0.00,周边(omocha)*10,0.00,0.00,
pm_goods_selling_limit,pm_goods_selling_limit,goods.txt,,0.00,周边(omocha)*5,0.00,0.00,
pm_goods_selling_lotto,pm_goods_selling_lotto,goods.txt,,0.00,周边(omocha)*5,0.00,0.00,
pm_goods_selling_null,无,goods.txt,,0.00,,0.00,0.00,
pm_iron_barn,铁框架粮仓,barn.txt,,0.00,grain(grain)*75；meat(meat)*30,2400.00,2400.00,
pm_kissaten_coffee_coffee,标准咖啡,kissaten.txt,coffee(coffee)*20；sugar(sugar)*10,1300.00,高档饮品(luxury_drinks)*30,1800.00,500.00,0.3846
pm_kissaten_coffee_latte,拿铁咖啡,kissaten.txt,coffee(coffee)*30；sugar(sugar)*30,2400.00,高档饮品(luxury_drinks)*60,3600.00,1200.00,0.5000
pm_kissaten_coffee_mocha,摩卡咖啡,kissaten.txt,coffee(coffee)*20；sugar(sugar)*40,2200.00,高档饮品(luxury_drinks)*50,3000.00,800.00,0.3636
pm_kissaten_coffee_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_food_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_food_omuraisu,蛋包饭,kissaten.txt,grain(grain)*45；meat(meat)*50,2400.00,高档食品(luxury_foods)*60,3600.00,1200.00,0.5000
pm_kissaten_food_pasta,意大利面,kissaten.txt,grain(grain)*35；meat(meat)*30,1600.00,高档食品(luxury_foods)*40,2400.00,800.00,0.5000
pm_kissaten_food_sandwich,三明治,kissaten.txt,grain(grain)*20；meat(meat)*30,1300.00,高档食品(luxury_foods)*30,1800.00,500.00,0.3846
pm_kissaten_food_takoyaki,章鱼烧,kissaten.txt,fish(fish)*35；grain(grain)*40；meat(meat)*50,3000.00,高档食品(luxury_foods)*70,4200.00,1200.00,0.4000
pm_kissaten_server_fuwafuwa,美味仪式,kissaten.txt,luxury_clothes(luxury_clothes)*25；高档饮品(luxury_drinks)*5；sugar(sugar)*10,2100.00,,0.00,-2100.00,-1.0000
pm_kissaten_server_maid,女仆装束,kissaten.txt,luxury_clothes(luxury_clothes)*20,1200.00,,0.00,-1200.00,-1.0000
pm_kissaten_server_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_server_waitress,基本服务,kissaten.txt,clothes(clothes)*10,300.00,,0.00,-300.00,-1.0000
pm_kissaten_sweet_biscuit,饼干,kissaten.txt,grain(grain)*25；sugar(sugar)*20,1100.00,高档食品(luxury_foods)*30,1800.00,700.00,0.6364
pm_kissaten_sweet_cake,蛋糕,kissaten.txt,fruit(fruit)*25；grain(grain)*45；sugar(sugar)*35,2700.00,高档食品(luxury_foods)*65,3900.00,1200.00,0.4444
pm_kissaten_sweet_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_sweet_pancake,可丽饼,kissaten.txt,fruit(fruit)*25；grain(grain)*35；sugar(sugar)*25,2200.00,高档食品(luxury_foods)*50,3000.00,800.00,0.3636
pm_kissaten_sweet_pie,苹果派,kissaten.txt,fruit(fruit)*35；grain(grain)*45；sugar(sugar)*35,3000.00,高档食品(luxury_foods)*70,4200.00,1200.00,0.4000
pm_kissaten_tea_black_tea,红茶,kissaten.txt,sugar(sugar)*55；tea(tea)*15,2400.00,高档饮品(luxury_drinks)*60,3600.00,1200.00,0.5000
pm_kissaten_tea_cocoa,可可,kissaten.txt,sugar(sugar)*45；tea(tea)*5,1600.00,高档饮品(luxury_drinks)*40,2400.00,800.00,0.5000
pm_kissaten_tea_milk,牛奶,kissaten.txt,sugar(sugar)*25；tea(tea)*5,1000.00,高档饮品(luxury_drinks)*25,1500.00,500.00,0.5000
pm_kissaten_tea_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_tool_flash_freezing,冷藏设备,kissaten.txt,electricity(electricity)*20；engines(engines)*10；tools(tools)*10,1600.00,,0.00,-1600.00,-1.0000
pm_kissaten_tool_null,无,kissaten.txt,,0.00,,0.00,0.00,
pm_kissaten_tool_porcelain,餐具套装,kissaten.txt,iron(iron)*5；porcelain(porcelain)*10,900.00,,0.00,-900.00,-1.0000
pm_kissaten_tool_table,基本桌椅,kissaten.txt,furniture(furniture)*10；tools(tools)*5,500.00,,0.00,-500.00,-1.0000
pm_kissaten_tool_watertube_boiler,水管锅炉,kissaten.txt,coal(coal)*10；iron(iron)*10；tools(tools)*10,1100.00,,0.00,-1100.00,-1.0000
pm_market_barn,调控粮价,barn.txt,,0.00,,0.00,0.00,
pm_musical_instrument_main_electric,电气乐器,musical_instrument.txt,electricity(electricity)*20；engines(engines)*10；steel(steel)*15,1950.00,乐器(instruments)*75,4125.00,2175.00,1.1154
pm_musical_instrument_main_iron,铁制乐器,musical_instrument.txt,iron(iron)*10；wood(wood)*5,500.00,乐器(instruments)*35,1925.00,1425.00,2.8500
pm_musical_instrument_main_null,无,musical_instrument.txt,,0.00,,0.00,0.00,
pm_musical_instrument_main_steel,钢制乐器,musical_instrument.txt,steel(steel)*15；tools(tools)*20；wood(wood)*10,1750.00,乐器(instruments)*65,3575.00,1825.00,1.0429
pm_musical_instrument_main_wood,木制乐器,musical_instrument.txt,tools(tools)*10；wood(wood)*10,600.00,乐器(instruments)*20,1100.00,500.00,0.8333
pm_no_magic,未启用,tot_jijian_production.txt,,0.00,,0.00,0.00,
pm_noble_barn,庄园和教堂,barn.txt,,0.00,,0.00,0.00,
pm_publisher_business_ads,广告代理,publisher_press.txt,paper(paper)*4；services(services)*12；tools(tools)*3,600.00,普通刊物(publications)*10,500.00,-100.00,-0.1667
pm_publisher_business_none,无附加业务,publisher_press.txt,,0.00,,0.00,0.00,
pm_publisher_business_publishing,出版代理,publisher_press.txt,paper(paper)*5；services(services)*8；tools(tools)*2,470.00,普通刊物(publications)*10,500.00,30.00,0.0638
pm_publisher_main_general_electric,电印普刊,publisher_press.txt,electricity(electricity)*20；engines(engines)*15；paper(paper)*45,2850.00,普通刊物(publications)*80,4000.00,1150.00,0.4035
pm_publisher_main_general_iron,铁印普刊,publisher_press.txt,iron(iron)*10；paper(paper)*30；tools(tools)*10,1700.00,普通刊物(publications)*50,2500.00,800.00,0.4706
pm_publisher_main_general_steel,钢印普刊,publisher_press.txt,paper(paper)*35；steel(steel)*15；tools(tools)*15,2400.00,普通刊物(publications)*60,3000.00,600.00,0.2500
pm_publisher_main_general_wood,木版普刊,publisher_press.txt,paper(paper)*20；tools(tools)*5；wood(wood)*15,1100.00,普通刊物(publications)*40,2000.00,900.00,0.8182
pm_publisher_main_null,无,publisher_press.txt,,0.00,,0.00,0.00,
pm_railway_luotuomu,洛托姆货运,tot_jijian_production.txt,魔法矿石(magic_mineral)*5；magictools(magictools)*5,0.00,transportation(transportation)*10,300.00,300.00,
pm_railway_transport,反重力附魔,tot_jijian_production.txt,魔力(magic_energy)*5；超冶金结构(magic_steels)*5；magictools(magictools)*5,0.00,transportation(transportation)*30,900.00,900.00,
pm_relief_barn,救济赈灾,barn.txt,,0.00,,0.00,0.00,
pm_shopkeeper_barn,委托私人,barn.txt,,0.00,,0.00,0.00,
pm_stell_barn,钢框架粮仓,barn.txt,,0.00,grain(grain)*125；meat(meat)*50,4000.00,4000.00,
pm_transport_barn,运输粮道,barn.txt,,0.00,,0.00,0.00,
pm_wooden_barn,木框架粮仓,barn.txt,,0.00,grain(grain)*50；meat(meat)*20,1600.00,1600.00,
